Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2017","2017","g/cap/d","53.65","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2018","2018","g/cap/d","51.76","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2019","2019","g/cap/d","50.76","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2020","2020","g/cap/d","52.29","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","50.22","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2017","2017","g/cap/d","11.77","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2018","2018","g/cap/d","11.17","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2019","2019","g/cap/d","10.22","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2020","2020","g/cap/d","11.06","E","Estimated value"
"FBS","Food Balances (2010-)","004","Afghanistan","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","10.48","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2017","2017","g/cap/d","30.87","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2018","2018","g/cap/d","30.68","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2019","2019","g/cap/d","31.44","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2020","2020","g/cap/d","29.63","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2021","2021","g/cap/d","29.84","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2017","2017","g/cap/d","20.41","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2018","2018","g/cap/d","20.32","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2019","2019","g/cap/d","20.3","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2020","2020","g/cap/d","22.48","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2941","Animal Products","2021","2021","g/cap/d","19.56","E","Estimated value"
"FBS","Food Balances (2010-)","180","Democratic Republic of the Congo","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2017","2017","g/cap/d","26.8","E","Estimated value"
"FBS","Food Balances (2010-)","180","Democratic Republic of the Congo","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2018","2018","g/cap/d","26.43","E","Estimated value"
"FBS","Food Balances (2010-)","180","Democratic Republic of the Congo","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2019","2019","g/cap/d","25.95","E","Estimated value"
"FBS","Food Balances (2010-)","180","Democratic Republic of the Congo","674","Protein supply quantity (g/capita/day)","S2903","Vegetal Products","2020","2020","g/cap/d","25.66","E","Estimated value"
