Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GLE","Emissions from Livestock","004","Afghanistan","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2020","2020","3050","FAO TIER 1","kt","216.6836","E","Estimated value",""
"GLE","Emissions from Livestock","004","Afghanistan","72441","Livestock total (Emissions CH4)","02122","Sheep","2020","2020","3050","FAO TIER 1","kt","69.4326","E","Estimated value",""
"GLE","Emissions from Livestock","008","Albania","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2020","2020","3050","FAO TIER 1","kt","41.8624","E","Estimated value",""
"GLE","Emissions from Livestock","008","Albania","72441","Livestock total (Emissions CH4)","02122","Sheep","2020","2020","3050","FAO TIER 1","kt","12.7589","E","Estimated value",""
"GLE","Emissions from Livestock","012","Algeria","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2020","2020","3050","FAO TIER 1","kt","42.6954","E","Estimated value",""
"GLE","Emissions from Livestock","012","Algeria","72441","Livestock total (Emissions CH4)","02122","Sheep","2020","2020","3050","FAO TIER 1","kt","159.1636","E","Estimated value",""
"GLE","Emissions from Livestock","024","Angola","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2020","2020","3050","FAO TIER 1","kt","20.793","E","Estimated value",""
"GLE","Emissions from Livestock","024","Angola","72441","Livestock total (Emissions CH4)","02122","Sheep","2020","2020","3050","FAO TIER 1","kt","6.1309","E","Estimated value",""
"GLE","Emissions from Livestock","028","Antigua and Barbuda","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2020","2020","3050","FAO TIER 1","kt","0.2549","E","Estimated value",""
"GLE","Emissions from Livestock","028","Antigua and Barbuda","72441","Livestock total (Emissions CH4)","02122","Sheep","2020","2020","3050","FAO TIER 1","kt","0.0501","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2020","2020","3050","FAO TIER 1","kt","112.9528","E","Estimated value",""
"GLE","Emissions from Livestock","032","Argentina","72441","Livestock total (Emissions CH4)","02122","Sheep","2020","2020","3050","FAO TIER 1","kt","74.9007","E","Estimated value",""
"GLE","Emissions from Livestock","051","Armenia","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2020","2020","3050","FAO TIER 1","kt","12.0824","E","Estimated value",""
"GLE","Emissions from Livestock","051","Armenia","72441","Livestock total (Emissions CH4)","02122","Sheep","2020","2020","3050","FAO TIER 1","kt","3.2619","E","Estimated value",""
"GLE","Emissions from Livestock","036","Australia","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2020","2020","3050","FAO TIER 1","kt","165.86","E","Estimated value",""
"GLE","Emissions from Livestock","036","Australia","72441","Livestock total (Emissions CH4)","02122","Sheep","2020","2020","3050","FAO TIER 1","kt","526.0231","E","Estimated value",""
"GLE","Emissions from Livestock","040","Austria","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2020","2020","3050","FAO TIER 1","kt","72.4196","E","Estimated value",""
"GLE","Emissions from Livestock","040","Austria","72441","Livestock total (Emissions CH4)","02122","Sheep","2020","2020","3050","FAO TIER 1","kt","3.2249","E","Estimated value",""
"GLE","Emissions from Livestock","031","Azerbaijan","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2020","2020","3050","FAO TIER 1","kt","61.354","E","Estimated value",""
"GLE","Emissions from Livestock","031","Azerbaijan","72441","Livestock total (Emissions CH4)","02122","Sheep","2020","2020","3050","FAO TIER 1","kt","38.167","E","Estimated value",""
"GLE","Emissions from Livestock","044","Bahamas","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2020","2020","3050","FAO TIER 1","kt","0.051","E","Estimated value",""
"GLE","Emissions from Livestock","044","Bahamas","72441","Livestock total (Emissions CH4)","02122","Sheep","2020","2020","3050","FAO TIER 1","kt","0.0339","E","Estimated value",""
"GLE","Emissions from Livestock","048","Bahrain","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2020","2020","3050","FAO TIER 1","kt","0.1993","E","Estimated value",""
"GLE","Emissions from Livestock","048","Bahrain","72441","Livestock total (Emissions CH4)","02122","Sheep","2020","2020","3050","FAO TIER 1","kt","0.312","E","Estimated value",""
"GLE","Emissions from Livestock","050","Bangladesh","72441","Livestock total (Emissions CH4)","F0960","Cattle, dairy","2020","2020","3050","FAO TIER 1","kt","258.8424","E","Estimated value",""
