Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2511","Wheat and products","2021","2021","g/cap/d","0.82","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2021","2021","g/cap/d","0.87","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2514","Maize and products","2021","2021","g/cap/d","3.86","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2517","Millet and products","2021","2021","g/cap/d","0.38","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2518","Sorghum and products","2021","2021","g/cap/d","1.15","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2532","Cassava and products","2021","2021","g/cap/d","2.26","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2547","Peas","2021","2021","g/cap/d","0.22","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2552","Groundnuts","2021","2021","g/cap/d","3.15","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2731","Bovine Meat","2021","2021","g/cap/d","7.91","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2732","Mutton & Goat Meat","2021","2021","g/cap/d","2.4","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2733","Pigmeat","2021","2021","g/cap/d","1.36","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2021","2021","g/cap/d","1.2","E","Estimated value"
"FBS","Food Balances (2010-)","180","Congo","674","Protein supply quantity (g/capita/day)","S2511","Wheat and products","2021","2021","g/cap/d","1.13","E","Estimated value"
"FBS","Food Balances (2010-)","180","Congo","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2021","2021","g/cap/d","2.04","E","Estimated value"
"FBS","Food Balances (2010-)","180","Congo","674","Protein supply quantity (g/capita/day)","S2514","Maize and products","2021","2021","g/cap/d","3.65","E","Estimated value"
"FBS","Food Balances (2010-)","180","Congo","674","Protein supply quantity (g/capita/day)","S2517","Millet and products","2021","2021","g/cap/d","0.07","E","Estimated value"
"FBS","Food Balances (2010-)","180","Congo","674","Protein supply quantity (g/capita/day)","S2518","Sorghum and products","2021","2021","g/cap/d","0.02","E","Estimated value"
"FBS","Food Balances (2010-)","180","Congo","674","Protein supply quantity (g/capita/day)","S2532","Cassava and products","2021","2021","g/cap/d","11.21","E","Estimated value"
"FBS","Food Balances (2010-)","180","Congo","674","Protein supply quantity (g/capita/day)","S2547","Peas","2021","2021","g/cap/d","0.01","E","Estimated value"
"FBS","Food Balances (2010-)","180","Congo","674","Protein supply quantity (g/capita/day)","S2552","Groundnuts","2021","2021","g/cap/d","1.56","E","Estimated value"
"FBS","Food Balances (2010-)","180","Congo","674","Protein supply quantity (g/capita/day)","S2731","Bovine Meat","2021","2021","g/cap/d","0.13","E","Estimated value"
"FBS","Food Balances (2010-)","180","Congo","674","Protein supply quantity (g/capita/day)","S2732","Mutton & Goat Meat","2021","2021","g/cap/d","0.11","E","Estimated value"
"FBS","Food Balances (2010-)","180","Congo","674","Protein supply quantity (g/capita/day)","S2733","Pigmeat","2021","2021","g/cap/d","0.25","E","Estimated value"
"FBS","Food Balances (2010-)","180","Congo","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2021","2021","g/cap/d","0.41","E","Estimated value"
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2511","Wheat and products","2021","2021","g/cap/d","10.43","E","Estimated value"
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2021","2021","g/cap/d","1.47","E","Estimated value"
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2514","Maize and products","2021","2021","g/cap/d","9.79","E","Estimated value"
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2517","Millet and products","2021","2021","g/cap/d","1.54","E","Estimated value"
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2518","Sorghum and products","2021","2021","g/cap/d","5.55","E","Estimated value"
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2532","Cassava and products","2021","2021","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","231","Ethiopia","674","Protein supply quantity (g/capita/day)","S2547","Peas","2021","2021","g/cap/d","2.25","E","Estimated value"
