Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","084","Belize","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","382.07","X","Figure from international organizations"
"FBS","Food Balances (2010-)","084","Belize","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","389.1","X","Figure from international organizations"
"FBS","Food Balances (2010-)","188","Costa Rica","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","5040.73","X","Figure from international organizations"
"FBS","Food Balances (2010-)","188","Costa Rica","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","5084.53","X","Figure from international organizations"
"FBS","Food Balances (2010-)","222","El Salvador","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","6276.34","X","Figure from international organizations"
"FBS","Food Balances (2010-)","222","El Salvador","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","6280.22","X","Figure from international organizations"
"FBS","Food Balances (2010-)","320","Guatemala","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","16850.18","X","Figure from international organizations"
"FBS","Food Balances (2010-)","320","Guatemala","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","17106.34","X","Figure from international organizations"
"FBS","Food Balances (2010-)","340","Honduras","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","9792.85","X","Figure from international organizations"
"FBS","Food Balances (2010-)","340","Honduras","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","9958.83","X","Figure from international organizations"
"FBS","Food Balances (2010-)","484","Mexico","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","124013.86","X","Figure from international organizations"
"FBS","Food Balances (2010-)","484","Mexico","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","125085.31","X","Figure from international organizations"
"FBS","Food Balances (2010-)","558","Nicaragua","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","6572.23","X","Figure from international organizations"
"FBS","Food Balances (2010-)","558","Nicaragua","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","6663.92","X","Figure from international organizations"
"FBS","Food Balances (2010-)","591","Panama","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","4165.26","X","Figure from international organizations"
"FBS","Food Balances (2010-)","591","Panama","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","4232.53","X","Figure from international organizations"
