Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","072","Botswana","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","2451.41","X","Figure from international organizations"
"FBS","Food Balances (2010-)","072","Botswana","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","2499.7","X","Figure from international organizations"
"FBS","Food Balances (2010-)","748","Eswatini","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","1160.43","X","Figure from international organizations"
"FBS","Food Balances (2010-)","748","Eswatini","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","1169.61","X","Figure from international organizations"
"FBS","Food Balances (2010-)","426","Lesotho","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","2198.02","X","Figure from international organizations"
"FBS","Food Balances (2010-)","426","Lesotho","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","2225.7","X","Figure from international organizations"
"FBS","Food Balances (2010-)","516","Namibia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","2405.68","X","Figure from international organizations"
"FBS","Food Balances (2010-)","516","Namibia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","2446.64","X","Figure from international organizations"
"FBS","Food Balances (2010-)","710","South Africa","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","57339.64","X","Figure from international organizations"
"FBS","Food Balances (2010-)","710","South Africa","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","58087.06","X","Figure from international organizations"
