Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","204","Benin","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","11940.68","X","Figure from international organizations"
"FBS","Food Balances (2010-)","204","Benin","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","12290.44","X","Figure from international organizations"
"FBS","Food Balances (2010-)","854","Burkina Faso","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","20392.72","X","Figure from international organizations"
"FBS","Food Balances (2010-)","854","Burkina Faso","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","20951.64","X","Figure from international organizations"
"FBS","Food Balances (2010-)","132","Cabo Verde","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","571.2","X","Figure from international organizations"
"FBS","Food Balances (2010-)","132","Cabo Verde","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","577.03","X","Figure from international organizations"
"FBS","Food Balances (2010-)","384","Côte d'Ivoire","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","25493.99","X","Figure from international organizations"
"FBS","Food Balances (2010-)","384","Côte d'Ivoire","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","26147.55","X","Figure from international organizations"
"FBS","Food Balances (2010-)","270","Gambia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","2444.92","X","Figure from international organizations"
"FBS","Food Balances (2010-)","270","Gambia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","2508.88","X","Figure from international organizations"
"FBS","Food Balances (2010-)","288","Ghana","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","30870.64","X","Figure from international organizations"
"FBS","Food Balances (2010-)","288","Ghana","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","31522.29","X","Figure from international organizations"
"FBS","Food Balances (2010-)","324","Guinea","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","12554.86","X","Figure from international organizations"
"FBS","Food Balances (2010-)","324","Guinea","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","12877.54","X","Figure from international organizations"
"FBS","Food Balances (2010-)","624","Guinea-Bissau","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","1924.95","X","Figure from international organizations"
"FBS","Food Balances (2010-)","624","Guinea-Bissau","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","1970.46","X","Figure from international organizations"
"FBS","Food Balances (2010-)","430","Liberia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","4889.39","X","Figure from international organizations"
"FBS","Food Balances (2010-)","430","Liberia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","4985.29","X","Figure from international organizations"
"FBS","Food Balances (2010-)","466","Mali","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","19934.3","X","Figure from international organizations"
"FBS","Food Balances (2010-)","466","Mali","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","20567.42","X","Figure from international organizations"
"FBS","Food Balances (2010-)","478","Mauritania","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","4270.71","X","Figure from international organizations"
"FBS","Food Balances (2010-)","478","Mauritania","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","4383.85","X","Figure from international organizations"
"FBS","Food Balances (2010-)","562","Niger","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","22577.06","X","Figure from international organizations"
"FBS","Food Balances (2010-)","562","Niger","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","23443.39","X","Figure from international organizations"
"FBS","Food Balances (2010-)","566","Nigeria","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","198387.62","X","Figure from international organizations"
"FBS","Food Balances (2010-)","566","Nigeria","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","203304.49","X","Figure from international organizations"
"FBS","Food Balances (2010-)","686","Senegal","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","15574.91","X","Figure from international organizations"
"FBS","Food Balances (2010-)","686","Senegal","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","16000.78","X","Figure from international organizations"
"FBS","Food Balances (2010-)","694","Sierra Leone","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","7861.28","X","Figure from international organizations"
"FBS","Food Balances (2010-)","694","Sierra Leone","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","8046.83","X","Figure from international organizations"
"FBS","Food Balances (2010-)","768","Togo","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","8046.68","X","Figure from international organizations"
"FBS","Food Balances (2010-)","768","Togo","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","8243.09","X","Figure from international organizations"
