Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","208","Denmark","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","5766.69","X","Figure from international organizations"
"FBS","Food Balances (2010-)","208","Denmark","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","5795.88","X","Figure from international organizations"
"FBS","Food Balances (2010-)","233","Estonia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","1322.15","X","Figure from international organizations"
"FBS","Food Balances (2010-)","233","Estonia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","1327.04","X","Figure from international organizations"
"FBS","Food Balances (2010-)","246","Finland","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","5515.46","X","Figure from international organizations"
"FBS","Food Balances (2010-)","246","Finland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","5521.54","X","Figure from international organizations"
"FBS","Food Balances (2010-)","352","Iceland","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","352.95","X","Figure from international organizations"
"FBS","Food Balances (2010-)","352","Iceland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","360.77","X","Figure from international organizations"
"FBS","Food Balances (2010-)","372","Ireland","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","4834.51","X","Figure from international organizations"
"FBS","Food Balances (2010-)","372","Ireland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","4896.02","X","Figure from international organizations"
"FBS","Food Balances (2010-)","428","Latvia","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","1935.63","X","Figure from international organizations"
"FBS","Food Balances (2010-)","428","Latvia","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","1916.56","X","Figure from international organizations"
"FBS","Food Balances (2010-)","440","Lithuania","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","2876.13","X","Figure from international organizations"
"FBS","Food Balances (2010-)","440","Lithuania","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","2849.08","X","Figure from international organizations"
"FBS","Food Balances (2010-)","578","Norway","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","5312.32","X","Figure from international organizations"
"FBS","Food Balances (2010-)","578","Norway","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","5348.28","X","Figure from international organizations"
"FBS","Food Balances (2010-)","752","Sweden","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","10162.3","X","Figure from international organizations"
"FBS","Food Balances (2010-)","752","Sweden","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","10267.92","X","Figure from international organizations"
"FBS","Food Balances (2010-)","826","United Kingdom of Great Britain and Northern Ireland","511","Total Population - Both sexes","S2501","Population","2018","2018","1000 No","66432.99","X","Figure from international organizations"
"FBS","Food Balances (2010-)","826","United Kingdom of Great Britain and Northern Ireland","511","Total Population - Both sexes","S2501","Population","2019","2019","1000 No","66778.66","X","Figure from international organizations"
