Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GCE","Emissions from Crops","004","Afghanistan","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.3793","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","20.8768","E","Estimated value",""
"GCE","Emissions from Crops","004","Afghanistan","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","2.8814","E","Estimated value",""
"GCE","Emissions from Crops","008","Albania","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.1532","E","Estimated value",""
"GCE","Emissions from Crops","008","Albania","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GCE","Emissions from Crops","008","Albania","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.0583","E","Estimated value",""
"GCE","Emissions from Crops","012","Algeria","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.0014","E","Estimated value",""
"GCE","Emissions from Crops","012","Algeria","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","0.0477","E","Estimated value",""
"GCE","Emissions from Crops","012","Algeria","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","1.9959","E","Estimated value",""
"GCE","Emissions from Crops","024","Angola","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","7.2999","E","Estimated value",""
"GCE","Emissions from Crops","024","Angola","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","2.4036","E","Estimated value",""
"GCE","Emissions from Crops","024","Angola","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.0036","E","Estimated value",""
"GCE","Emissions from Crops","028","Antigua and Barbuda","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GCE","Emissions from Crops","032","Argentina","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","20.8724","E","Estimated value",""
"GCE","Emissions from Crops","032","Argentina","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","52.1592","E","Estimated value",""
"GCE","Emissions from Crops","032","Argentina","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","7.2682","E","Estimated value",""
"GCE","Emissions from Crops","051","Armenia","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.0034","E","Estimated value",""
"GCE","Emissions from Crops","051","Armenia","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GCE","Emissions from Crops","051","Armenia","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.0633","E","Estimated value",""
"GCE","Emissions from Crops","036","Australia","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.1019","E","Estimated value",""
"GCE","Emissions from Crops","036","Australia","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","1.5847","E","Estimated value",""
"GCE","Emissions from Crops","036","Australia","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","10.6522","E","Estimated value",""
"GCE","Emissions from Crops","040","Austria","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.574","E","Estimated value",""
"GCE","Emissions from Crops","040","Austria","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.3013","E","Estimated value",""
"GCE","Emissions from Crops","031","Azerbaijan","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.0909","E","Estimated value",""
"GCE","Emissions from Crops","031","Azerbaijan","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","0.8447","E","Estimated value",""
"GCE","Emissions from Crops","031","Azerbaijan","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.6355","E","Estimated value",""
"GCE","Emissions from Crops","044","Bahamas","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.0002","E","Estimated value",""
"GCE","Emissions from Crops","050","Bangladesh","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","1.2736","E","Estimated value",""
"GCE","Emissions from Crops","050","Bangladesh","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","1151.8792","E","Estimated value",""
"GCE","Emissions from Crops","050","Bangladesh","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.3588","E","Estimated value",""
"GCE","Emissions from Crops","052","Barbados","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.0001","E","Estimated value",""
"GCE","Emissions from Crops","112","Belarus","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.5766","E","Estimated value",""
"GCE","Emissions from Crops","112","Belarus","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.7805","E","Estimated value",""
"GCE","Emissions from Crops","056","Belgium","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.1401","E","Estimated value",""
"GCE","Emissions from Crops","056","Belgium","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GCE","Emissions from Crops","056","Belgium","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.2102","E","Estimated value",""
"GCE","Emissions from Crops","084","Belize","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.0628","E","Estimated value",""
"GCE","Emissions from Crops","084","Belize","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","0.0908","E","Estimated value",""
"GCE","Emissions from Crops","204","Benin","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","3.4213","E","Estimated value",""
"GCE","Emissions from Crops","204","Benin","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","3.0837","E","Estimated value",""
"GCE","Emissions from Crops","064","Bhutan","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.0305","E","Estimated value",""
"GCE","Emissions from Crops","064","Bhutan","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","1.4785","E","Estimated value",""
"GCE","Emissions from Crops","064","Bhutan","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.0011","E","Estimated value",""
"GCE","Emissions from Crops","068","Bolivia (Plurinational State of)","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","1.1417","E","Estimated value",""
"GCE","Emissions from Crops","068","Bolivia (Plurinational State of)","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","12.6182","E","Estimated value",""
"GCE","Emissions from Crops","068","Bolivia (Plurinational State of)","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.2209","E","Estimated value",""
"GCE","Emissions from Crops","070","Bosnia and Herzegovina","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.5415","E","Estimated value",""
"GCE","Emissions from Crops","070","Bosnia and Herzegovina","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.0755","E","Estimated value",""
"GCE","Emissions from Crops","072","Botswana","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.2508","E","Estimated value",""
"GCE","Emissions from Crops","072","Botswana","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.0008","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","49.2852","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","111.4751","E","Estimated value",""
"GCE","Emissions from Crops","076","Brazil","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","2.6295","E","Estimated value",""
"GCE","Emissions from Crops","096","Brunei Darussalam","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","0.1494","E","Estimated value",""
"GCE","Emissions from Crops","100","Bulgaria","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","1.5701","E","Estimated value",""
"GCE","Emissions from Crops","100","Bulgaria","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","3.4763","E","Estimated value",""
"GCE","Emissions from Crops","100","Bulgaria","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","1.2962","E","Estimated value",""
"GCE","Emissions from Crops","854","Burkina Faso","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","2.9414","E","Estimated value",""
"GCE","Emissions from Crops","854","Burkina Faso","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","50.5717","E","Estimated value",""
"GCE","Emissions from Crops","108","Burundi","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.6048","E","Estimated value",""
"GCE","Emissions from Crops","108","Burundi","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","3.5636","E","Estimated value",""
"GCE","Emissions from Crops","108","Burundi","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.013","E","Estimated value",""
"GCE","Emissions from Crops","132","Cabo Verde","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.0745","E","Estimated value",""
"GCE","Emissions from Crops","116","Cambodia","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.4494","E","Estimated value",""
"GCE","Emissions from Crops","116","Cambodia","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","523.4839","E","Estimated value",""
"GCE","Emissions from Crops","120","Cameroon","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","3.1911","E","Estimated value",""
"GCE","Emissions from Crops","120","Cameroon","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","19.7153","E","Estimated value",""
"GCE","Emissions from Crops","120","Cameroon","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.0004","E","Estimated value",""
"GCE","Emissions from Crops","124","Canada","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","3.8021","E","Estimated value",""
"GCE","Emissions from Crops","124","Canada","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","10.8192","E","Estimated value",""
"GCE","Emissions from Crops","140","Central African Republic","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.3634","E","Estimated value",""
"GCE","Emissions from Crops","140","Central African Republic","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","0.6666","E","Estimated value",""
"GCE","Emissions from Crops","148","Chad","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.9143","E","Estimated value",""
"GCE","Emissions from Crops","148","Chad","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","13.5235","E","Estimated value",""
"GCE","Emissions from Crops","148","Chad","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.0011","E","Estimated value",""
"GCE","Emissions from Crops","152","Chile","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.1744","E","Estimated value",""
"GCE","Emissions from Crops","152","Chile","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","5.8775","E","Estimated value",""
"GCE","Emissions from Crops","152","Chile","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.2214","E","Estimated value",""
"GCE","Emissions from Crops","159","China","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","111.4884","E","Estimated value",""
"GCE","Emissions from Crops","159","China","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","5375.6527","E","Estimated value",""
"GCE","Emissions from Crops","159","China","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","25.2536","E","Estimated value",""
"GCE","Emissions from Crops","344","China, Hong Kong SAR","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GCE","Emissions from Crops","156","China, mainland","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","111.402","E","Estimated value",""
"GCE","Emissions from Crops","156","China, mainland","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","5327.6192","E","Estimated value",""
"GCE","Emissions from Crops","156","China, mainland","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","25.2504","E","Estimated value",""
"GCE","Emissions from Crops","158","China, Taiwan Province of","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.0864","E","Estimated value",""
"GCE","Emissions from Crops","158","China, Taiwan Province of","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","48.0335","E","Estimated value",""
"GCE","Emissions from Crops","158","China, Taiwan Province of","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.0032","E","Estimated value",""
"GCE","Emissions from Crops","170","Colombia","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.9818","E","Estimated value",""
"GCE","Emissions from Crops","170","Colombia","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","124.4628","E","Estimated value",""
"GCE","Emissions from Crops","170","Colombia","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.0027","E","Estimated value",""
"GCE","Emissions from Crops","174","Comoros","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.0084","E","Estimated value",""
"GCE","Emissions from Crops","174","Comoros","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","6.7191","E","Estimated value",""
"GCE","Emissions from Crops","178","Congo","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.0351","E","Estimated value",""
"GCE","Emissions from Crops","178","Congo","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","0.1328","E","Estimated value",""
"GCE","Emissions from Crops","188","Costa Rica","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.0208","E","Estimated value",""
"GCE","Emissions from Crops","188","Costa Rica","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","0.9485","E","Estimated value",""
"GCE","Emissions from Crops","384","Côte d'Ivoire","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","1.4557","E","Estimated value",""
"GCE","Emissions from Crops","384","Côte d'Ivoire","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","16.9162","E","Estimated value",""
"GCE","Emissions from Crops","191","Croatia","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.7787","E","Estimated value",""
"GCE","Emissions from Crops","191","Croatia","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GCE","Emissions from Crops","191","Croatia","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.1597","E","Estimated value",""
"GCE","Emissions from Crops","192","Cuba","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.3472","E","Estimated value",""
"GCE","Emissions from Crops","192","Cuba","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","20.9977","E","Estimated value",""
"GCE","Emissions from Crops","196","Cyprus","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GCE","Emissions from Crops","196","Cyprus","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.0135","E","Estimated value",""
"GCE","Emissions from Crops","203","Czechia","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","0.2355","E","Estimated value",""
"GCE","Emissions from Crops","203","Czechia","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GCE","Emissions from Crops","203","Czechia","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.8625","E","Estimated value",""
"GCE","Emissions from Crops","408","Democratic People's Republic of Korea","72440","Crops total (Emissions CH4)","0112","Maize (corn)","2020","2020","3050","FAO TIER 1","kt","1.5748","E","Estimated value",""
"GCE","Emissions from Crops","408","Democratic People's Republic of Korea","72440","Crops total (Emissions CH4)","0113","Rice","2020","2020","3050","FAO TIER 1","kt","84.4287","E","Estimated value",""
"GCE","Emissions from Crops","408","Democratic People's Republic of Korea","72440","Crops total (Emissions CH4)","0111","Wheat","2020","2020","3050","FAO TIER 1","kt","0.0783","E","Estimated value",""
