Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","140","Central African Republic","5511","Production","S2807","Rice and products","2021","2021","1000 t","13","I","Imputed value"
"FBS","Food Balances (2010-)","140","Central African Republic","5511","Production","S2514","Maize and products","2021","2021","1000 t","90","I","Imputed value"
"FBS","Food Balances (2010-)","140","Central African Republic","5511","Production","S2517","Millet and products","2021","2021","1000 t","10","I","Imputed value"
"FBS","Food Balances (2010-)","140","Central African Republic","5511","Production","S2518","Sorghum and products","2021","2021","1000 t","30","I","Imputed value"
"FBS","Food Balances (2010-)","178","Congo","5511","Production","S2807","Rice and products","2021","2021","1000 t","1","I","Imputed value"
"FBS","Food Balances (2010-)","178","Congo","5511","Production","S2514","Maize and products","2021","2021","1000 t","13","I","Imputed value"
"FBS","Food Balances (2010-)","178","Congo","5511","Production","S2517","Millet and products","2021","2021","1000 t","14","I","Imputed value"
"FBS","Food Balances (2010-)","231","Ethiopia","5511","Production","S2511","Wheat and products","2021","2021","1000 t","5214","I","Imputed value"
"FBS","Food Balances (2010-)","231","Ethiopia","5511","Production","S2807","Rice and products","2021","2021","1000 t","200","I","Imputed value"
"FBS","Food Balances (2010-)","231","Ethiopia","5511","Production","S2514","Maize and products","2021","2021","1000 t","10722","I","Imputed value"
"FBS","Food Balances (2010-)","231","Ethiopia","5511","Production","S2517","Millet and products","2021","2021","1000 t","1000","I","Imputed value"
"FBS","Food Balances (2010-)","231","Ethiopia","5511","Production","S2518","Sorghum and products","2021","2021","1000 t","4450","I","Imputed value"
"FBS","Food Balances (2010-)","566","Nigeria","5511","Production","S2511","Wheat and products","2021","2021","1000 t","90","I","Imputed value"
"FBS","Food Balances (2010-)","566","Nigeria","5511","Production","S2807","Rice and products","2021","2021","1000 t","8342","I","Imputed value"
"FBS","Food Balances (2010-)","566","Nigeria","5511","Production","S2514","Maize and products","2021","2021","1000 t","12745","I","Imputed value"
"FBS","Food Balances (2010-)","566","Nigeria","5511","Production","S2517","Millet and products","2021","2021","1000 t","1922","I","Imputed value"
"FBS","Food Balances (2010-)","566","Nigeria","5511","Production","S2518","Sorghum and products","2021","2021","1000 t","6725","I","Imputed value"
"FBS","Food Balances (2010-)","729","Sudan","5511","Production","S2511","Wheat and products","2021","2021","1000 t","602","I","Imputed value"
"FBS","Food Balances (2010-)","729","Sudan","5511","Production","S2807","Rice and products","2021","2021","1000 t","28","I","Imputed value"
"FBS","Food Balances (2010-)","729","Sudan","5511","Production","S2514","Maize and products","2021","2021","1000 t","23","I","Imputed value"
"FBS","Food Balances (2010-)","729","Sudan","5511","Production","S2517","Millet and products","2021","2021","1000 t","901","I","Imputed value"
"FBS","Food Balances (2010-)","729","Sudan","5511","Production","S2518","Sorghum and products","2021","2021","1000 t","3528","I","Imputed value"
