Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2511","Wheat and products","2021","2021","g/cap/d","0.82","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2807","Rice and products","2021","2021","g/cap/d","0.87","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2513","Barley and products","2021","2021","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2514","Maize and products","2021","2021","g/cap/d","3.86","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2515","Rye and products","2021","2021","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2516","Oats","2021","2021","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2517","Millet and products","2021","2021","g/cap/d","0.38","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2518","Sorghum and products","2021","2021","g/cap/d","1.15","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2520","Cereals, Other","2021","2021","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2532","Cassava and products","2021","2021","g/cap/d","2.26","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2531","Potatoes and products","2021","2021","g/cap/d","0.01","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2533","Sweet potatoes","2021","2021","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2535","Yams","2021","2021","g/cap/d","4.13","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2534","Roots, Other","2021","2021","g/cap/d","1.04","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2542","Sugar (Raw Equivalent)","2021","2021","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2543","Sweeteners, Other","2021","2021","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2745","Honey","2021","2021","g/cap/d","0.02","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2546","Beans","2021","2021","g/cap/d","0.01","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2547","Peas","2021","2021","g/cap/d","0.22","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2549","Pulses, Other and products","2021","2021","g/cap/d","5.76","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2551","Nuts and products","2021","2021","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2555","Soyabeans","2021","2021","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2552","Groundnuts","2021","2021","g/cap/d","3.15","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2557","Sunflower seed","2021","2021","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2558","Rape and Mustardseed","2021","2021","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2560","Coconuts - Incl Copra","2021","2021","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2561","Sesame seed","2021","2021","g/cap/d","1.34","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2563","Olives (including preserved)","2021","2021","g/cap/d","0","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2570","Oilcrops, Other","2021","2021","g/cap/d","2.56","E","Estimated value"
"FBS","Food Balances (2010-)","140","Central African Republic","674","Protein supply quantity (g/capita/day)","S2571","Soyabean Oil","2021","2021","g/cap/d","0","E","Estimated value"
